,controller config,fot safety,fot comfort,fot mean comfort,GAIL_nondet_ppo best_loss safety,GAIL_nondet_ppo best_loss comfort,GAIL_nondet_ppo best_loss mean comfort,GAIL_nondet_ppo best_eucl safety,GAIL_nondet_ppo best_eucl comfort,GAIL_nondet_ppo best_eucl mean comfort,GAIL_nondet_ppo best_dtw safety,GAIL_nondet_ppo best_dtw comfort,GAIL_nondet_ppo best_dtw mean comfort
63,20.0,0.5977011919021606,0.459770143032074,0.13793103396892548,1.026328682899475,5.035587787628174,1.8414149284362793,0.3699478805065155,0.5505249500274658,0.1200546845793724,0.4190349280834198,0.40648508071899414,0.1464732438325882
64,20.0,0.7126436233520508,0.5747126340866089,0.1574844866991043,1.123389482498169,4.420833587646484,1.8467425107955933,0.35357242822647095,0.44956260919570923,0.1451304405927658,0.40464526414871216,0.45904746651649475,0.13872016966342926
65,20.0,0.5287356376647949,0.4137931168079376,0.12683314085006714,1.5340657234191895,4.663641929626465,1.6371568441390991,0.3284669816493988,0.5626728534698486,0.15229202806949615,0.4042740762233734,0.3897251486778259,0.13228732347488403
66,20.0,0.6436781883239746,0.48275864124298096,0.15114282071590424,1.5836683511734009,4.2536468505859375,1.7913792133331299,0.32599958777427673,0.4943140745162964,0.13854533433914185,0.39988401532173157,0.42121291160583496,0.16165626049041748
67,20.0,0.6436781883239746,0.9195401668548584,0.163826122879982,1.1862157583236694,4.41879940032959,1.4657002687454224,0.333356112241745,0.37704309821128845,0.1385306715965271,0.40762630105018616,0.4667667746543884,0.1325274258852005
68,20.0,0.7126436233520508,0.5057471990585327,0.14612235128879547,1.5797349214553833,4.1754021644592285,2.0148239135742188,0.33799052238464355,0.5056597590446472,0.15235891938209534,0.4158713221549988,0.5167611241340637,0.15663956105709076
69,20.0,0.5287356376647949,0.6666666269302368,0.1226053535938263,1.6916477680206299,5.23638916015625,1.2646757364273071,0.3513248860836029,0.3785800635814667,0.11352089792490005,0.3943531811237335,0.42068034410476685,0.13752985000610352
70,30.0,0.6666666269302368,0.48275861144065857,0.14929316937923431,1.3585429191589355,5.49492073059082,1.8356473445892334,0.41833195090293884,0.5054208040237427,0.17040516436100006,0.49459508061408997,0.4466401934623718,0.17354489862918854
71,30.0,0.8275861740112305,0.45977017283439636,0.1307966709136963,1.3965272903442383,5.984720706939697,1.489109992980957,0.4302545487880707,0.5012030601501465,0.15648508071899414,0.5016096830368042,0.43299463391304016,0.17158657312393188
72,30.0,0.9655172824859619,0.8505746722221375,0.17545248568058014,1.093725323677063,5.780766487121582,2.1185004711151123,0.4210995137691498,0.45360302925109863,0.1314239203929901,0.5021853446960449,0.421596497297287,0.16358089447021484
73,30.0,0.8045977354049683,1.2643678188323975,0.15986260771751404,1.140247106552124,5.516310691833496,1.6245348453521729,0.42193296551704407,0.5150507688522339,0.13763703405857086,0.5020122528076172,0.4538719058036804,0.17692385613918304
74,30.0,0.8045977354049683,0.873563289642334,0.1569560021162033,1.5206154584884644,5.13008975982666,1.6749967336654663,0.44017401337623596,0.5142069458961487,0.16034655272960663,0.5032923221588135,0.4830341935157776,0.16603180766105652
75,30.0,0.8045977354049683,0.5517240762710571,0.16673272848129272,1.7024624347686768,6.554106712341309,1.6322351694107056,0.43125107884407043,0.45307379961013794,0.1563398689031601,0.4990939199924469,0.45920878648757935,0.17232631146907806
76,30.0,0.7126436233520508,0.5057471990585327,0.15193551778793335,1.2173352241516113,5.963143825531006,1.7015653848648071,0.4003666341304779,0.4547162353992462,0.1397479921579361,0.4989476501941681,0.4525304436683655,0.16694171726703644
77,30.0,0.6896551847457886,0.4597701132297516,0.13370326161384583,1.2447928190231323,3.8424007892608643,1.635877251625061,0.4610612690448761,0.40428856015205383,0.13095645606517792,0.5144037008285522,0.41500210762023926,0.16029484570026398
