,controller config,fot safety,fot comfort,fot mean comfort,BCxGAIL_det_ppo best_loss safety,BCxGAIL_det_ppo best_loss comfort,BCxGAIL_det_ppo best_loss mean comfort,BCxGAIL_det_ppo best_eucl safety,BCxGAIL_det_ppo best_eucl comfort,BCxGAIL_det_ppo best_eucl mean comfort,BCxGAIL_det_ppo best_dtw safety,BCxGAIL_det_ppo best_dtw comfort,BCxGAIL_det_ppo best_dtw mean comfort
22,30.0,0.7356321811676025,0.9195401072502136,0.15087857842445374,0.680365800857544,0.4509355127811432,0.12437138706445694,0.6753846406936646,0.4587899148464203,0.0951862633228302,0.6687957048416138,0.41700103878974915,0.09328826516866684
23,30.0,0.7126436233520508,0.5287356376647949,0.13502445816993713,0.6724711656570435,0.33164292573928833,0.08657541871070862,0.693689227104187,0.44438478350639343,0.097006656229496,0.6940364837646484,0.3054845929145813,0.09611376374959946
24,30.0,0.9885057210922241,0.7586207389831543,0.18364381790161133,0.6634938716888428,0.39578449726104736,0.10930535197257996,0.6689404249191284,0.49912816286087036,0.1005222499370575,0.6766805648803711,0.3416931629180908,0.08684226870536804
25,30.0,0.7586207389831543,0.5747126936912537,0.14400845766067505,0.6723150014877319,0.2903810143470764,0.11103183031082153,0.6925506591796875,0.46583011746406555,0.09974729269742966,0.6895368099212646,0.3141537606716156,0.09344156086444855
26,30.0,0.8275861740112305,0.6206897497177124,0.16831813752651215,0.6602212190628052,0.4102347493171692,0.11539997160434723,0.660064160823822,0.431132048368454,0.10044042766094208,0.6816631555557251,0.3264143764972687,0.08533144742250443
27,30.0,0.7586207389831543,0.5517241954803467,0.14189457893371582,0.6758562326431274,0.4133414328098297,0.09485922008752823,0.6610941886901855,0.4274154305458069,0.08251752704381943,0.6914790868759155,0.2501932382583618,0.08951251953840256
28,30.0,0.8275861740112305,0.8505748510360718,0.16884660720825195,0.6779482364654541,0.3986504077911377,0.10164986550807953,0.674679160118103,0.3358876407146454,0.08726976811885834,0.6561803817749023,0.252473384141922,0.07348381727933884
29,30.0,0.7126436233520508,0.48275870084762573,0.13793103396892548,0.6979128122329712,0.3257037401199341,0.10049949586391449,0.7529323101043701,0.3448725640773773,0.10858798027038574,0.7421218156814575,0.3449072241783142,0.09461604803800583
30,40.0,0.919540286064148,0.7126436233520508,0.19474169611930847,0.762160062789917,0.4717220962047577,0.10518935322761536,0.7421095371246338,0.36720025539398193,0.08602609485387802,0.7475464344024658,0.5038021802902222,0.10876648873090744
31,40.0,0.8275861740112305,0.873563289642334,0.15061436593532562,0.773829460144043,0.4933542013168335,0.08899135142564774,0.7602826356887817,0.5395345687866211,0.09993069618940353,0.7808395624160767,0.3295113146305084,0.09693925827741623
32,40.0,0.8045977354049683,0.48275870084762573,0.14955739676952362,0.7467358112335205,0.5632908940315247,0.11441965401172638,0.7309523820877075,0.5456579923629761,0.11147652566432953,0.771619439125061,0.5304657816886902,0.11579518765211105
