,controller config,fot safety,fot comfort,fot mean comfort,BC_nondet best_loss safety,BC_nondet best_loss comfort,BC_nondet best_loss mean comfort,BC_nondet best_eucl safety,BC_nondet best_eucl comfort,BC_nondet best_eucl mean comfort,BC_nondet best_dtw safety,BC_nondet best_dtw comfort,BC_nondet best_dtw mean comfort
42,50.0,0.9425287246704102,1.2413794994354248,0.2726912498474121,1.0588096380233765,1.7140591144561768,0.3130277395248413,1.1503485441207886,1.3901793956756592,0.2877497673034668,1.0237884521484375,1.217081069946289,0.32395803928375244
43,50.0,0.8505747318267822,1.1954023838043213,0.19394898414611816,1.098719596862793,1.8307995796203613,0.37578529119491577,0.9158989191055298,1.7246441841125488,0.36676186323165894,0.9428067207336426,1.079336166381836,0.2865257263183594
44,50.0,0.8275861740112305,0.8965516686439514,0.18602190911769867,0.963166356086731,1.501812219619751,0.3219808042049408,1.0610706806182861,0.9602469801902771,0.37492722272872925,0.9281545877456665,1.2858504056930542,0.2775919735431671
45,50.0,0.8045977354049683,0.9885057210922241,0.20002640783786774,0.9514353275299072,1.4709118604660034,0.31041795015335083,1.0040838718414307,1.1149778366088867,0.34205910563468933,0.9942406415939331,1.3629026412963867,0.303204208612442
46,50.0,0.9425287246704102,1.034482717514038,0.24256837368011475,0.8714261054992676,0.8531553149223328,0.26592007279396057,0.8038805723190308,1.1293634176254272,0.3539921045303345,0.9999943971633911,2.4857239723205566,0.396771103143692
47,50.0,0.8045977354049683,1.0574711561203003,0.21852292120456696,0.8530561923980713,1.3079771995544434,0.28158149123191833,0.9259384870529175,1.4117937088012695,0.29550784826278687,0.9905291795730591,1.4402471780776978,0.3235257565975189
48,50.0,0.9885057210922241,1.034482717514038,0.2388690561056137,0.9729384183883667,1.2436624765396118,0.34547004103660583,0.9148769378662109,1.1493842601776123,0.2822771668434143,0.9270254373550415,1.8112728595733643,0.41456741094589233
49,50.0,0.8735631704330444,0.7586206197738647,0.19077816605567932,1.1381181478500366,1.8639194965362549,0.40640056133270264,0.9967489242553711,1.8070534467697144,0.31917238235473633,0.8401669263839722,1.1740883588790894,0.27816370129585266
50,10.0,0.3448275625705719,0.4827585816383362,0.09591756016016006,0.2532171607017517,0.5917530655860901,0.18758510053157806,0.31842905282974243,0.6422520875930786,0.2024257630109787,0.3250834345817566,0.5810096263885498,0.17313027381896973
51,10.0,0.4367816150188446,0.4597701132297516,0.08825472742319107,0.3374956250190735,0.6304659247398376,0.17254231870174408,0.32309186458587646,0.8413329124450684,0.15809443593025208,0.3678628206253052,0.580264687538147,0.1580478847026825
52,10.0,0.5057471394538879,0.4597700834274292,0.10225921869277954,0.42041486501693726,0.45258939266204834,0.13448907434940338,0.34739959239959717,0.8226262331008911,0.21100883185863495,0.3252633810043335,0.6843000054359436,0.17676769196987152
53,10.0,0.3448275923728943,0.436781644821167,0.10199496150016785,0.2884129285812378,0.4898604452610016,0.16504555940628052,0.3652336001396179,0.6622397899627686,0.19372396171092987,0.31413590908050537,0.8161393404006958,0.19132839143276215
54,10.0,0.3448275923728943,0.5057470798492432,0.10040955990552902,0.3457735478878021,0.6780391931533813,0.1689249575138092,0.3765251636505127,0.6318008303642273,0.21805834770202637,0.3491053581237793,0.6611827611923218,0.1920546591281891
55,10.0,0.39080458879470825,0.5517241358757019,0.12709736824035645,0.3571794331073761,0.5258787870407104,0.16046762466430664,0.4057048559188843,0.7872276306152344,0.20832481980323792,0.36383169889450073,0.5708889961242676,0.16212958097457886
56,10.0,0.4597701132297516,0.4367816150188446,0.10543004423379898,0.3021268844604492,0.5040083527565002,0.1504850685596466,0.3270699977874756,0.6987196803092957,0.19068828225135803,0.34802860021591187,0.49449676275253296,0.15915390849113464
57,10.0,0.2988505959510803,0.41379308700561523,0.10225921124219894,0.32615378499031067,0.6509110331535339,0.1614679992198944,0.32953035831451416,0.6716819405555725,0.1981605440378189,0.3722679018974304,0.65202796459198,0.18083436787128448
58,10.0,0.27586206793785095,0.2988505959510803,0.0734575167298317,0.26093852519989014,0.5742741227149963,0.15192951261997223,0.3367837965488434,0.672863245010376,0.19434155523777008,0.32276076078414917,0.7358473539352417,0.15110838413238525
59,10.0,0.39080458879470825,0.3448275923728943,0.09988108277320862,0.261252760887146,0.5841825008392334,0.16144564747810364,0.41512903571128845,0.8268015384674072,0.1968686282634735,0.3897779881954193,0.6250178217887878,0.16029654443264008
60,20.0,0.5287356376647949,0.4597700834274292,0.14400845766067505,0.4646677076816559,0.7576166987419128,0.19687843322753906,0.5171198844909668,0.8823128938674927,0.2578544616699219,0.5270003080368042,0.5467389822006226,0.1946512907743454
61,20.0,0.6206896305084229,0.5747126340866089,0.16171224415302277,0.5680161714553833,0.9518499374389648,0.23256143927574158,0.6477309465408325,1.150108814239502,0.29370275139808655,0.5636663436889648,0.9151338934898376,0.22665609419345856
62,20.0,0.5517241358757019,0.5977011322975159,0.12577620148658752,0.6843403577804565,0.7378172278404236,0.23284465074539185,0.8608345985412598,0.9812256097793579,0.25621598958969116,0.5960049629211426,1.1440216302871704,0.22457854449748993
63,20.0,0.6206896305084229,0.4367816746234894,0.1479719877243042,0.4759584367275238,0.743121862411499,0.22949166595935822,0.5826302766799927,0.848045825958252,0.27005162835121155,0.640029788017273,0.7603400945663452,0.2289477437734604
64,20.0,0.6206896305084229,0.41379314661026,0.12234113365411758,0.5943665504455566,0.9189791679382324,0.2533884048461914,0.6275402903556824,1.0305043458938599,0.22318829596042633,0.5826898813247681,0.9313756227493286,0.28115126490592957
65,20.0,0.5747126340866089,0.48275864124298096,0.1323820799589157,0.5810462236404419,0.7201703190803528,0.1983596533536911,0.6002081632614136,0.8267080783843994,0.2300494760274887,0.5273523330688477,0.750691294670105,0.22453923523426056
